event_id,event_name,datetime,city,country,location,data_navigate
661797,One Direction,2015-03-28 18:00:00,Johannesburg,South Africa,FNB Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-661797
661798,One Direction,2015-03-29 18:00:00,Johannesburg,South Africa,FNB Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-661798
661802,One Direction,2015-04-01 18:00:00,Cape Town,South Africa,Cape Town Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-661802
661809,One Direction,2015-04-04 18:00:00,Dubai City,United Arab Emirates,The 7s,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-661809
750699,One Direction,2015-06-05 17:00:00,Cardiff,United Kingdom,Millennium Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-750699
735138,One Direction,2015-06-06 17:00:00,Cardiff,United Kingdom,Millennium Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-735138
714919,One Direction,2015-06-10 15:30:00,Vienna,Austria,Ernst Happel Stadion,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714919
714923,One Direction,2015-06-13 20:30:00,Brussels,Belgium,King Baudouin Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714923
714920,One Direction,2015-06-16 17:00:00,Horsens,Denmark,CASA Arena Horsens,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714920
714918,One Direction,2015-06-19 16:30:00,Oslo,Norway,Ullevaal Stadion,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714918
714921,One Direction,2015-06-23 16:30:00,Göteborg,Sweden,Ullevi,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714921
714922,One Direction,2015-06-27 16:30:00,Helsinki,Finland,Olympic Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714922
714935,One Direction,2015-07-09 19:00:00,San Diego,USA,Qualcomm Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714935
714934,One Direction,2015-07-11 19:00:00,Santa Clara,USA,Levi's Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714934
714937,One Direction,2015-07-15 19:00:00,Seattle,USA,CenturyLink Field,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714937
715998,One Direction,2015-07-17 19:00:00,Vancouver,Canada,BC Place Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-715998
715999,One Direction,2015-07-21 19:00:00,Edmonton,Canada,Commonwealth Stadium - Edmonton,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-715999
716000,One Direction,2015-07-24 19:00:00,Winnipeg,Canada,Investors Group Field,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-716000
714938,One Direction,2015-07-26 19:00:00,Minneapolis,USA,TCF Bank Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714938
714940,One Direction,2015-07-28 19:00:00,Kansas City,USA,Arrowhead Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-714940
